(1,10)
(2,10)
(3,0)
(4,0)
(5,5)
(6,0)
(7,0)
(8,0)
(9,0)
(10,10)
(11,5)
(12,5)
(13,5)
(14,5)
(15,5)
(16,10)
(17,5)
(18,0)
(19,5)
(20,10)
(21,10)
(22,10)
(23,5) 
(24,10) 
(25,5) 
(26,5) 
(27,0) 
(28, 0 ) 
(29,  5) 
(30, 0) 
(31,5 ) 
(32, 5 ) 
(33, 5 ) 
(34, 5 ) 
(35, 5 ) 
(36,  5) 
(37, 5 ) 
(38, 5 ) 
(39,  5) 
(40,  0) 
(41, 0 ) 
(42, 0 ) 
(43, 0 ) 
(44, 0 ) 
(45, 5 ) 
(46, 10 ) 
(47, 0 ) 
(48, 5 ) 
(49, 10 ) 
(50, 0 ) 
(51,  5) 
(52, 0 ) 
(53,  0) 
(54, 0 ) 
(55, 10 ) 
(56, 10 ) 
(57, 10 ) 
(58, 5 ) 
(59, 0 ) 
(60, 10 ) 
(61, 0 ) 
(62, 0 ) 
(63, 5 ) 
(64, 0 ) 
(65, 0 ) 
(66, 0 ) 
(67, 5 ) 
(68, 10 ) 
(69, 5 ) 
(70, 0 ) 
(71, 10 ) 
(72, 0 ) 
(73, 0) 
(74, 0 ) 
(75, 0) 
(76, 10 ) 
(77, 10) 
(78, 5 ) 
(79,  5) 
(80, 5 ) 
(81, 5 ) 
(82, 5 ) 
(83, 0) 
(84, 5) 
(85, 0) 
(86, 5) 
(87, 5) 
(88, 5) 
(89, 0 ) 
(90,  10) 
(91, 5 ) 
(92, 0 ) 
(93, 0 ) 
(94, 0 ) 
(95, 0 ) 
(96, 10) 
(97, 0 ) 
(98, 10 ) 
(99, 10 ) 
(100, 5 ) 
(101, 5 ) 
(102, 0 ) 
(103, 0 ) 
(104, 0 ) 
(105, 5 ) 
(106,  0) 
(107, 10 ) 
(108, 0 ) 
(109, 0) 
(110, 0) 
